order,pub,va_sem,+-,va_std,+-,vi_sem,+-,vi_std,+-
115,Kapplinger 2015,-37.1,1.4,-37.1,5.0477717856,-79.7,0.7,-79.7,2.5238858928
116,Kapplinger 2015,-37.1,1.4,-37.1,5.0477717856,-79.7,0.7,-79.7,2.5238858928
117,Kapplinger 2015,-37.9,1.1,-37.9,3.1112698372,-79.7,1.4,-79.7,3.9597979746
118,Kapplinger 2015,-37.1,1.4,-37.1,5.0477717856,-79.7,0.7,-79.7,2.5238858928
119,Kapplinger 2015,-35.2,1.0,-35.2,3.3166247904,-79.6,0.8,-79.6,2.5298221281
120,Kapplinger 2015,-35.7,1.3,-35.7,5.0348783501,-79.5,0.7,-79.5,2.7110883423
121,Hoshi 2014,nan,nan,nan,nan,-79.48,0.6,-79.48,2.5455844123
122,Kapplinger 2015,-35.7,0.8,-35.7,2.5298221281,-79.4,0.9,-79.4,2.8460498942
123,Surber 2008,-42.2,0.9,-42.2,3.3674916481,-79.4,1.4,-79.4,3.4292856399
124,Kapplinger 2015,-37.1,1.0,-37.1,3.4641016151,-79.0,0.3,-79.0,0.7348469228
125,Tan 2005,-41.0,1.2,-41.0,3.3941125497,-79.0,1.6,-79.0,5.3065996646
126,Tan 2005,-42.0,0.9,-42.0,2.5455844123,-79.0,1.4,-79.0,4.2
127,Tan 2005,-40.0,2.0,-40.0,8.4852813742,-79.0,2.0,-79.0,8.4852813742
128,Medeiros-Domingo 2007,-43.78,1.28,-43.78,2.8621670112,-78.77,1.11,-78.77,3.5101282028
129,Ge 2008,-35.5,1.4,-35.5,5.0477717856,-78.7,1.3,-78.7,6.6287253677
130,O'Leary 2002,nan,nan,nan,nan,-78.6,0.06,-78.6,0.1341640786
131,Bezzina 2003,-35.2,5.2,-35.2,14.7078210487,-78.3,4.6,-78.3,13.0107647738
132,Kapplinger 2015,-30.3,1.9,-30.3,7.3586683578,-78.3,0.8,-78.3,2.8844410204
133,Kapplinger 2015,-30.3,1.9,-30.3,7.3586683578,-78.3,0.8,-78.3,2.8844410204
134,Makiyama 2008,-43.61,0.79,-43.61,3.7887069034,-78.08,0.94,-78.08,4.4089908142
135,Groenewegen 2003b,-37.3,2.2,-37.3,6.2225396744,-78.0,1.53,-78.0,4.0479995059
136,Tan 2005,-40.0,3.9,-40.0,9.5530099969,-78.0,3.5,-78.0,7.8262379212
137,Tan 2005,-39.0,2.0,-39.0,4.0,-78.0,1.0,-78.0,2.8284271247
138,Kapplinger 2015,-33.4,1.2,-33.4,4.6475800154,-77.9,0.5,-77.9,1.9364916731
139,Calloe 2011,-31.4,0.4,-31.4,1.2649110641,-77.7,0.6,-77.7,1.8
140,Kapplinger 2015,-36.1,1.3,-36.1,4.1109609582,-77.5,1.0,-77.5,3.0
141,Rook 1999,-35.9,0.3,-35.9,0.9486832981,-77.4,0.1,-77.4,0.316227766
142,Keller 2005,-41.0,2.3,-41.0,6.9,-77.1,1.6,-77.1,3.577708764
143,Shy 2014,-29.6,1.3,-29.6,3.6769552622,-76.9,2.2,-76.9,6.9570108524
144,Liu 2003a,-50.41,1.32,-50.41,4.3779447233,-76.4,1.2,-76.4,4.8
145,Cheng 2011,-37.6,1.2,-37.6,3.3941125497,-76.1,1.7,-76.1,4.4977772288
146,Medeiros-Domingo 2009,-38.6,0.9,-38.6,3.4856850116,-76.0,1.2,-76.0,5.2306787322
147,Swan 2014,-28.0,1.2,-28.0,3.3941125497,-75.8,2.0,-75.8,4.8989794856
148,Groenewegen 2003a,-38.63,3.1,-38.63,8.7681240867,-75.0,2.25,-75.0,6.3639610307
149,Tan 2005,-39.0,2.0,-39.0,4.8989794856,-75.0,2.0,-75.0,5.6568542495
150,Tan 2005,-38.0,2.0,-38.0,4.8989794856,-75.0,2.0,-75.0,6.0
151,Tan 2005,-39.0,2.0,-39.0,4.0,-75.0,2.0,-75.0,5.6568542495
152,Cheng 2011,-39.6,2.5,-39.6,5.5901699437,-74.6,1.6,-74.6,4.2332020977
153,Wei 1999,nan,nan,nan,nan,-74.1,0.9,-74.1,2.38117618
154,Liu 2002,nan,nan,nan,nan,-73.33,3.1,-73.33,6.2
155,Cheng 2010,-34.9,0.9,-34.9,2.0124611797,-72.9,1.0,-72.9,2.6457513111
156,Wang 2015,-40.91,0.21,-40.91,0.63,-72.7,0.94,-72.7,2.4870062324
157,Sottas 2013,-29.8,0.6,-29.8,1.9899748742,-72.2,0.5,-72.2,1.6583123952
158,Cheng 2010,-34.9,1.2,-34.9,3.6,-72.0,0.8,-72.0,2.6532998323
159,Tester 2010,-42.0,2.0,-42.0,4.0,-72.0,1.0,-72.0,2.2360679775
160,Bankston 2007b,-24.8,1.3,-24.8,4.6872166581,-71.2,0.9,-71.2,2.7
161,Calloe 2011,-34.4,0.2,-34.4,0.5656854249,-71.2,0.3,-71.2,0.9
162,Guetter 2013,-33.5,0.4,-33.5,3.6221540553,-71.2,0.7,-71.2,3.7040518355
163,Rossenbacker 2004,-24.1,0.4,-24.1,0.894427191,-70.9,0.7,-70.9,1.4
164,Cheng 2010,-31.1,1.4,-31.1,3.4292856399,-70.6,1.1,-70.6,3.1112698372
165,An 1998,nan,nan,nan,nan,-70.2,1.3,-70.2,5.3600373133
166,Calloe 2013,-32.7,0.2,-32.7,0.5291502622,-69.5,0.2,-69.5,0.5291502622
167,Glaaser 2012,nan,nan,nan,nan,-69.1,3.3,-69.1,9.9
168,Mohler 2004,-41.8,1.0,-41.8,2.6457513111,-68.9,0.3,-68.9,1.1618950039
169,Makita 1998,nan,nan,nan,nan,-68.7,1.3,-68.7,4.3116122275
170,Vatta 2002b,-24.9,0.4,-24.9,1.1313708499,-68.4,0.1,-68.4,0.331662479
171,Baroudi 2000a,nan,nan,nan,nan,-67.9,0.6,-67.9,1.6970562748
172,Gui 2010a,-34.2,0.6,-34.2,2.8142494559,-67.7,0.5,-67.7,2.7838821814
173,Ruan 2010,-23.08,0.59,-23.08,1.77,-67.69,0.87,-67.69,3.0137684052
174,Surber 2008,-31.5,1.4,-31.5,7.2746133918,-67.6,0.7,-67.6,3.7040518355
175,Bebarova 2008,-31.8,1.2,-31.8,4.8,-66.6,0.8,-66.6,3.098386677
176,Abriel 2000,nan,nan,nan,nan,-66.2,0.9,-66.2,1.8
177,Saber 2015,-24.0,2.0,-24.0,4.8989794856,-66.0,2.0,-66.0,4.8989794856
178,Young 2005,-32.7,1.3,-32.7,5.8137767415,-66.0,2.0,-66.0,8.94427191
179,Abriel 2001,-21.5,0.3,-21.5,0.7348469228,-65.2,0.2,-65.2,0.7211102551
180,Abriel 2001,-26.0,1.1,-26.0,1.9052558883,-64.5,0.3,-64.5,0.6708203932
181,Zhang 2008,-33.1,1.0,-33.1,2.2360679775,-64.5,0.4,-64.5,0.9797958971
182,Abriel 2001,-25.5,0.9,-25.5,1.5588457268,-64.3,0.3,-64.3,0.6708203932
183,Wehrens 2003,-29.8,0.4,-29.8,1.1313708499,-64.0,0.8,-64.0,2.2627416998
184,Abriel 2001,-24.6,0.9,-24.6,1.5588457268,-63.7,0.3,-63.7,0.6708203932
185,Abriel 2001,-23.3,1.2,-23.3,2.0784609691,-63.3,0.4,-63.3,0.894427191
186,Wei 1999,nan,nan,nan,nan,-63.2,1.3,-63.2,4.1109609582
187,Rivolta 2001,-23.3,1.0,-23.3,2.2360679775,-62.8,0.9,-62.8,3.1176914536
188,Ruan 2007,-23.2,0.86,-23.2,1.9230184606,-62.5,0.68,-62.5,2.1503488089
189,Ellinor 2008,-21.2,0.6,-21.2,2.3237900077,-61.8,0.2,-61.8,0.8246211251
190,Bankston 2007a,-24.9,0.72,-24.9,1.904940944,-61.3,1.64,-61.3,3.6671514831
191,Albert 2008,-28.5,0.5,-28.5,1.5,-60.8,0.2,-60.8,0.9591663047
192,An 1998,nan,nan,nan,nan,-58.7,1.2,-58.7,4.8
