pub,v,sem,n,inv-sqrt-n
Nakajima 2015,-85.9,0.6,17.0,0.24253562503633297
Neu 2010,-90.9,1.4,9.0,0.3333333333333333
Nguyen 2008,-89.4,0.8,10.0,0.31622776601683794
O'Leary 2002,-78.6,0.06,5.0,0.4472135954999579
Olesen 2012,-85.6,0.9,25.0,0.2
Otagiri 2008,-88.3,0.8,37.0,0.1643989873053573
Pfahnl 2007,-98.0,2.2,15.0,0.2581988897471611
Rivolta 2001,-62.8,0.9,12.0,0.2886751345948129
Rook 1999,-77.4,0.1,10.0,0.31622776601683794
Rossenbacker 2004,-70.9,0.7,4.0,0.5
Ruan 2007,-62.5,0.68,10.0,0.31622776601683794
Ruan 2010,-67.69,0.87,12.0,0.2886751345948129
Saber 2015,-66.0,2.0,6.0,0.4082482904638631
Samani 2009,-89.9,1.8,9.0,0.3333333333333333
Sarhan 2009,-109.4,0.7,7.0,0.3779644730092272
Shinlapawittayatorn 2011a,-91.9,1.7,7.0,0.3779644730092272
Shinlapawittayatorn 2011b,-91.2,0.8,12.0,0.2886751345948129
Shirai 2002,-94.9,2.6,6.0,0.4082482904638631
Shuraih 2007,-90.7,0.1,7.0,0.3779644730092272
Shy 2014,-76.9,2.2,10.0,0.31622776601683794
Smits 2005a,-89.4,1.2,9.0,0.3333333333333333
Smits 2005b,-98.8,2.1,13.0,0.2773500981126146
Sottas 2013,-72.2,0.5,11.0,0.30151134457776363
Surber 2008,-67.6,0.7,28.0,0.1889822365046136
Surber 2008,-79.4,1.4,6.0,0.4082482904638631
Swan 2014,-75.8,2.0,6.0,0.4082482904638631
Tan 2001,-92.0,1.7,7.0,0.3779644730092272
Tan 2002,-93.5,1.2,13.0,0.2773500981126146
Tan 2005,-75.0,2.0,8.0,0.35355339059327373
Tan 2005,-75.0,2.0,9.0,0.3333333333333333
Tan 2005,-81.0,1.4,9.0,0.3333333333333333
Tan 2005,-79.0,1.6,11.0,0.30151134457776363
Tan 2005,-79.0,1.4,9.0,0.3333333333333333
Tan 2005,-78.0,3.5,5.0,0.4472135954999579
Tan 2005,-81.0,2.7,3.0,0.5773502691896258
Tan 2005,-75.0,2.0,8.0,0.35355339059327373
Tan 2005,-78.0,1.0,8.0,0.35355339059327373
Tan 2005,-82.0,1.4,12.0,0.2886751345948129
Tan 2005,-79.0,2.0,18.0,0.23570226039551587
Tan 2005,-82.0,3.1,4.0,0.5
Tan 2005,-82.0,1.2,9.0,0.3333333333333333
Tan 2005,-80.0,1.6,9.0,0.3333333333333333
Tan 2005,-80.0,0.6,4.0,0.5
Tan 2006,-81.8,1.3,8.0,0.35355339059327373
Tan 2006,-80.0,1.5,10.0,0.31622776601683794
Tarradas 2013,-84.9,0.9,10.0,0.31622776601683794
Tester 2010,-72.0,1.0,5.0,0.4472135954999579
Tsurugi 2009,-88.0,0.9,8.0,0.35355339059327373
Valdivia 2004,-84.3,1.0,20.0,0.22360679774997896
Vatta 2002a,-89.5,0.2,6.0,0.4082482904638631
Vatta 2002b,-68.4,0.1,11.0,0.30151134457776363
Viswanathan 2003,-85.0,1.2,11.0,0.30151134457776363
Wang 1996,-99.6,0.88,11.0,0.30151134457776363
Wang 2002,-100.7,1.4,19.0,0.22941573387056174
Wang 2007a,-89.3,1.1,16.0,0.25
Wang 2008,-89.3,1.1,16.0,0.25
Wang 2011,-93.9,0.8,11.0,0.30151134457776363
Wang 2015,-72.7,0.94,7.0,0.3779644730092272
Wang 2016,-93.5,0.7,34.0,0.17149858514250882
Watanabe 2011b,-84.5,1.0,24.0,0.20412414523193154
Watanabe 2011b,-89.4,0.7,19.0,0.22941573387056174
Wedekind 2001,-98.1,1.9,7.0,0.3779644730092272
Wehrens 2003,-64.0,0.8,8.0,0.35355339059327373
Wei 1999,-63.2,1.3,10.0,0.31622776601683794
Wei 1999,-74.1,0.9,7.0,0.3779644730092272
Winkel 2012,-84.6,1.8,16.0,0.25
Yang 2002,-98.3,0.3,7.0,0.3779644730092272
Ye 2003,-95.0,4.8,9.0,0.3333333333333333
Ye 2003,-86.0,5.8,7.0,0.3779644730092272
Yokoi 2005,-88.6,1.0,9.0,0.3333333333333333
Young 2005,-66.0,2.0,20.0,0.22360679774997896
Zeng 2013,-81.1,1.3,13.0,0.2773500981126146
Zhang 2008,-64.5,0.4,6.0,0.4082482904638631
